,date,hospital_dedicated,hospital_dedicated_govt,hospital_dedicated_pvt,covid19_beds,covid19_bed_occupancy,icu_hdu_beds,n_safe_homes,safe_home_beds,n_ventilators,total_patients_home_isolation,current_patients_home_isolation,released_patients_home_isolation,current_patients_hospital,current_patients_safe_homes,day,month,year,Index,hosp_per_million,covid_beds_per_million,icu_hdu_beds_per_million
462,05-05-2020,69,15,52,8785,13.04,860,,,271,,,,,,Tuesday,May-20,2020,20200505,14492.75362,113.8303927,1162.790698
461,08-06-2020,69,16,53,8785,22.03,920,,,392,,,,,,Monday,Jun-20,2020,20200608,14492.75362,113.8303927,1086.956522
460,09-06-2020,69,16,53,8785,22.96,920,,,392,,,,,,Tuesday,Jun-20,2020,20200609,14492.75362,113.8303927,1086.956522
459,10-06-2020,69,16,53,8785,23.16,920,,,392,,,,,,Wednesday,Jun-20,2020,20200610,14492.75362,113.8303927,1086.956522
458,11-06-2020,69,16,53,8785,23.92,920,,,392,,,,,,Thursday,Jun-20,2020,20200611,14492.75362,113.8303927,1086.956522
457,12-06-2020,69,16,53,8785,25.09,920,,,392,,,,,,Friday,Jun-20,2020,20200612,14492.75362,113.8303927,1086.956522
456,13-06-2020,69,16,53,8785,24.82,920,,,392,,,,,,Saturday,Jun-20,2020,20200613,14492.75362,113.8303927,1086.956522
455,14-06-2020,69,16,53,8785,24.54,920,,,392,,,,,,Sunday,Jun-20,2020,20200614,14492.75362,113.8303927,1086.956522
454,15-06-2020,69,16,53,8785,25.28,920,,,392,,,,,,Monday,Jun-20,2020,20200615,14492.75362,113.8303927,1086.956522
453,16-06-2020,77,24,53,10105,21.93,948,,,395,,,,,,Tuesday,Jun-20,2020,20200616,12987.01299,98.96091044,1054.852321
452,17-06-2020,77,24,53,10105,22.25,948,,,395,,,,,,Wednesday,Jun-20,2020,20200617,12987.01299,98.96091044,1054.852321
451,18-06-2020,77,24,53,10313,20.25,948,,,395,,,,,,Thursday,Jun-20,2020,20200618,12987.01299,96.96499564,1054.852321
450,19-06-2020,77,24,53,10327,20.45,948,106,6908,395,153826,142869,153826,,241,Friday,Jun-20,2020,20200619,12987.01299,96.83354314,1054.852321
449,20-06-2020,77,24,53,10340,20.84,948,106,6908,395,160726,136582,160726,,231,Saturday,Jun-20,2020,20200620,12987.01299,96.71179884,1054.852321
